id_pagamento,id_apolice,id_segurado,id_parcela,competencia,data_vencimento,data_pagamento,valor_pago,valor_esperado,status,metodo_pagamento,ramo,perfil_pagamento
PG-ital-00000001,AP-000001,SEG-000001,AP-000001-01,2024-01,2024-01-20,2024-01-20,300.92,300.92,Pago,Debito,Vida,Bom
PG-ital-00000002,AP-000002,SEG-000002,AP-000002-01,2024-01,2024-01-20,2024-01-20,242.97,242.97,Pago,Debito,Vida,Bom
PG-ital-00000003,AP-000003,SEG-000003,AP-000003-01,2024-01,2024-01-12,2024-01-12,799.05,799.05,Pago,Cartao,Vida,Bom
PG-ital-00000004,AP-000004,SEG-000004,AP-000004-01,2024-01,2024-01-15,2024-01-22,293.47,293.47,Pago,Boleto,Residencial,Medio
PG-ital-00000005,AP-000005,SEG-000005,AP-000005-01,2024-01,2024-01-05,,0.00,571.97,Inadimplente,Boleto,Auto,Ruim
PG-ital-00000006,AP-000006,SEG-000006,AP-000006-01,2024-01,2024-01-10,2024-01-10,206.35,206.35,Pago,Cartao,Auto,Bom
PG-ital-00000007,AP-000007,SEG-000007,AP-000007-01,2024-01,2024-01-25,2024-01-26,536.74,536.74,Pago,Debito,Auto,Bom
PG-ital-00000008,AP-000008,SEG-000008,AP-000008-01,2024-01,2024-01-15,2024-01-16,706.49,706.49,Pago,Debito,Vida,Bom
PG-ital-00000009,AP-000009,SEG-000009,AP-000009-01,2024-01,2024-01-18,2024-01-18,726.59,726.59,Pago,Debito,Residencial,Medio
PG-ital-00000010,AP-000010,SEG-000010,AP-000010-01,2024-01,2024-01-15,2024-01-15,682.79,682.79,Pago,Cartao,Saude,Bom
PG-ital-00000011,AP-000011,SEG-000011,AP-000011-01,2024-01,2024-01-08,2024-01-08,189.75,189.75,Pago,Boleto,Auto,Bom
PG-ital-00000012,AP-000012,SEG-000012,AP-000012-01,2024-01,2024-01-05,2024-01-07,343.00,343.00,Pago,Cartao,Vida,Bom
PG-ital-00000013,AP-000013,SEG-000013,AP-000013-01,2024-01,2024-01-20,2024-01-20,513.82,513.82,Pago,Debito,Auto,Bom
PG-ital-00000014,AP-000014,SEG-000014,AP-000014-01,2024-01,2024-01-25,2024-01-25,329.90,329.90,Pago,Boleto,Vida,Medio
PG-ital-00000015,AP-000015,SEG-000015,AP-000015-01,2024-01,2024-01-20,2024-01-20,282.21,282.21,Pago,Boleto,Saude,Ruim
PG-ital-00000016,AP-000016,SEG-000016,AP-000016-01,2024-01,2024-01-15,2024-01-15,368.65,368.65,Pago,Cartao,Residencial,Medio
PG-ital-00000017,AP-000017,SEG-000017,AP-000017-01,2024-01,2024-01-08,2024-01-08,165.63,165.63,Pago,Cartao,Vida,Bom
PG-ital-00000018,AP-000018,SEG-000018,AP-000018-01,2024-01,2024-01-25,2024-01-28,399.48,399.48,Pago,Boleto,Auto,Medio
PG-ital-00000019,AP-000019,SEG-000019,AP-000019-01,2024-01,2024-01-20,2024-01-20,641.91,641.91,Pago,Cartao,Vida,Bom
PG-ital-00000020,AP-000020,SEG-000020,AP-000020-01,2024-01,2024-01-15,2024-01-15,719.39,719.39,Pago,Cartao,Residencial,Medio
PG-ital-00000021,AP-000021,SEG-000021,AP-000021-01,2024-01,2024-01-25,2024-01-28,741.69,741.69,Pago,Boleto,Vida,Medio
PG-ital-00000022,AP-000022,SEG-000022,AP-000022-01,2024-01,2024-01-12,2024-01-12,292.34,292.34,Pago,Cartao,Vida,Bom
PG-ital-00000023,AP-000023,SEG-000023,AP-000023-01,2024-01,2024-01-10,2024-01-10,119.33,119.33,Pago,Debito,Saude,Bom
PG-ital-00000024,AP-000024,SEG-000024,AP-000024-01,2024-01,2024-01-10,2024-01-10,297.53,297.53,Pago,Debito,Saude,Bom
PG-ital-00000025,AP-000025,SEG-000025,AP-000025-01,2024-01,2024-01-08,2024-01-08,512.64,512.64,Pago,Debito,Saude,Bom
PG-ital-00000026,AP-000026,SEG-000026,AP-000026-01,2024-01,2024-01-10,2024-01-11,314.11,314.11,Pago,Debito,Auto,Bom
PG-ital-00000027,AP-000027,SEG-000027,AP-000027-01,2024-01,2024-01-18,2024-01-18,477.98,477.98,Pago,Cartao,Residencial,Bom
PG-ital-00000028,AP-000028,SEG-000028,AP-000028-01,2024-01,2024-01-12,2024-01-12,802.77,802.77,Pago,Debito,Saude,Medio
PG-ital-00000029,AP-000029,SEG-000029,AP-000029-01,2024-01,2024-01-10,2024-01-10,826.96,826.96,Pago,Boleto,Vida,Medio
PG-ital-00000030,AP-000030,SEG-000030,AP-000030-01,2024-01,2024-01-10,2024-01-10,358.70,358.70,Pago,Cartao,Saude,Bom
PG-ital-00000031,AP-000031,SEG-000031,AP-000031-01,2024-01,2024-01-08,2024-01-08,257.66,257.66,Pago,Debito,Saude,Bom
PG-ital-00000032,AP-000032,SEG-000032,AP-000032-01,2024-01,2024-01-12,2024-01-12,508.84,508.84,Pago,Boleto,Auto,Bom
PG-ital-00000033,AP-000033,SEG-000033,AP-000033-01,2024-01,2024-01-05,2024-01-05,234.66,234.66,Pago,Cartao,Saude,Medio
PG-ital-00000034,AP-000034,SEG-000034,AP-000034-01,2024-01,2024-01-12,2024-01-12,634.37,634.37,Pago,Debito,Saude,Bom
PG-ital-00000035,AP-000035,SEG-000035,AP-000035-01,2024-01,2024-01-15,2024-01-15,135.02,135.02,Pago,Cartao,Saude,Bom
PG-ital-00000036,AP-000036,SEG-000036,AP-000036-01,2024-01,2024-01-10,2024-01-10,660.09,660.09,Pago,Debito,Residencial,Bom
PG-ital-00000037,AP-000037,SEG-000037,AP-000037-01,2024-01,2024-01-18,2024-01-21,417.47,417.47,Pago,Boleto,Residencial,Medio
PG-ital-00000038,AP-000038,SEG-000038,AP-000038-01,2024-01,2024-01-08,2024-01-08,389.09,389.09,Pago,Debito,Auto,Bom
PG-ital-00000039,AP-000039,SEG-000039,AP-000039-01,2024-01,2024-01-20,2024-01-27,559.11,559.11,Pago,Boleto,Residencial,Ruim
PG-ital-00000040,AP-000040,SEG-000040,AP-000040-01,2024-01,2024-01-20,2024-02-01,217.75,217.75,Pago,Cartao,Residencial,Medio
PG-ital-00000041,AP-000041,SEG-000041,AP-000041-01,2024-01,2024-01-10,2024-01-10,262.03,262.03,Pago,Cartao,Auto,Bom
PG-ital-00000042,AP-000042,SEG-000042,AP-000042-01,2024-01,2024-01-12,2024-01-12,125.79,125.79,Pago,Cartao,Saude,Bom
PG-ital-00000043,AP-000043,SEG-000043,AP-000043-01,2024-01,2024-01-15,2024-01-15,494.24,494.24,Pago,Boleto,Vida,Bom
PG-ital-00000044,AP-000044,SEG-000044,AP-000044-01,2024-01,2024-01-12,2024-01-12,689.32,689.32,Pago,Debito,Vida,Bom
PG-ital-00000045,AP-000045,SEG-000045,AP-000045-01,2024-01,2024-01-10,2024-01-10,644.93,644.93,Pago,Boleto,Vida,Medio
PG-ital-00000046,AP-000046,SEG-000046,AP-000046-01,2024-01,2024-01-20,2024-01-20,726.13,726.13,Pago,Debito,Residencial,Bom
PG-ital-00000047,AP-000047,SEG-000047,AP-000047-01,2024-01,2024-01-10,2024-01-10,843.18,843.18,Pago,Debito,Residencial,Bom
PG-ital-00000048,AP-000048,SEG-000048,AP-000048-01,2024-01,2024-01-05,2024-01-06,602.02,602.02,Pago,Debito,Auto,Bom
PG-ital-00000049,AP-000049,SEG-000049,AP-000049-01,2024-01,2024-01-18,2024-01-18,278.32,278.32,Pago,Debito,Auto,Bom
PG-ital-00000050,AP-000050,SEG-000050,AP-000050-01,2024-01,2024-01-08,,0.00,368.79,Inadimplente,Boleto,Saude,Bom
PG-ital-00000051,AP-000051,SEG-000051,AP-000051-01,2024-01,2024-01-25,2024-01-25,490.16,490.16,Pago,Cartao,Empresarial,Bom
PG-ital-00000052,AP-000052,SEG-000052,AP-000052-01,2024-01,2024-01-10,,176.16,488.36,Inadimplente,Boleto,Saude,Bom
PG-ital-00000053,AP-000053,SEG-000053,AP-000053-01,2024-01,2024-01-20,2024-01-20,666.14,666.14,Pago,Cartao,Residencial,Ruim
PG-ital-00000054,AP-000054,SEG-000054,AP-000054-01,2024-01,2024-01-12,2024-01-12,747.31,747.31,Pago,Debito,Auto,Bom
PG-ital-00000055,AP-000055,SEG-000055,AP-000055-01,2024-01,2024-01-12,2024-01-24,157.41,157.41,Pago,Boleto,Vida,Medio
PG-ital-00000056,AP-000056,SEG-000056,AP-000056-01,2024-01,2024-01-25,2024-01-25,358.72,358.72,Pago,Cartao,Saude,Bom
