id_pagamento,id_apolice,id_segurado,id_parcela,competencia,data_vencimento,data_pagamento,valor_pago,valor_esperado,status,metodo_pagamento,ramo,perfil_pagamento
PG-rada-00000001,AP-000001,SEG-000001,AP-000001-01,2024-01,2024-01-15,2024-01-22,628.50,628.50,Pago,Cartao,Auto,Ruim
PG-rada-00000002,AP-000002,SEG-000002,AP-000002-01,2024-01,2024-01-10,,0.00,956.93,Inadimplente,Boleto,Saude,Ruim
PG-rada-00000003,AP-000003,SEG-000003,AP-000003-01,2024-01,2024-01-15,2024-01-15,525.11,525.11,Pago,Debito,Saude,Bom
PG-rada-00000004,AP-000004,SEG-000004,AP-000004-01,2024-01,2024-01-05,2024-01-20,425.02,425.02,Pago,Boleto,Vida,Ruim
PG-rada-00000005,AP-000005,SEG-000005,AP-000005-01,2024-01,2024-01-10,2024-01-10,439.00,439.00,Pago,Cartao,Auto,Medio
PG-rada-00000006,AP-000006,SEG-000006,AP-000006-01,2024-01,2024-01-05,2024-01-05,693.90,693.90,Pago,Debito,Saude,Bom
PG-rada-00000007,AP-000007,SEG-000007,AP-000007-01,2024-01,2024-01-20,2024-01-20,330.76,330.76,Pago,Debito,Empresarial,Bom
PG-rada-00000008,AP-000008,SEG-000008,AP-000008-01,2024-01,2024-01-15,2024-01-15,524.13,524.13,Pago,Boleto,Saude,Ruim
PG-rada-00000009,AP-000009,SEG-000009,AP-000009-01,2024-01,2024-01-08,2024-01-09,462.40,462.40,Pago,Debito,Saude,Bom
PG-rada-00000010,AP-000010,SEG-000010,AP-000010-01,2024-01,2024-01-12,2024-01-16,200.09,200.09,Pago,Boleto,Vida,Bom
PG-rada-00000011,AP-000011,SEG-000011,AP-000011-01,2024-01,2024-01-12,2024-01-12,274.10,274.10,Pago,Debito,Auto,Bom
PG-rada-00000012,AP-000012,SEG-000012,AP-000012-01,2024-01,2024-01-15,2024-01-15,786.09,786.09,Pago,Boleto,Empresarial,Medio
PG-rada-00000013,AP-000013,SEG-000013,AP-000013-01,2024-01,2024-01-25,2024-01-25,160.75,160.75,Pago,Debito,Residencial,Bom
PG-rada-00000014,AP-000014,SEG-000014,AP-000014-01,2024-01,2024-01-25,2024-01-25,172.86,172.86,Pago,Boleto,Residencial,Bom
PG-rada-00000015,AP-000015,SEG-000015,AP-000015-01,2024-01,2024-01-25,2024-01-25,689.14,689.14,Pago,Debito,Saude,Bom
PG-rada-00000016,AP-000016,SEG-000016,AP-000016-01,2024-01,2024-01-18,2024-01-18,937.96,937.96,Pago,Cartao,Vida,Bom
PG-rada-00000017,AP-000017,SEG-000017,AP-000017-01,2024-01,2024-01-08,2024-01-10,915.87,915.87,Pago,Cartao,Residencial,Bom
PG-rada-00000018,AP-000018,SEG-000018,AP-000018-01,2024-01,2024-01-20,2024-01-20,530.21,530.21,Pago,Debito,Auto,Ruim
PG-rada-00000019,AP-000019,SEG-000019,AP-000019-01,2024-01,2024-01-12,2024-01-12,877.73,877.73,Pago,Boleto,Vida,Bom
PG-rada-00000020,AP-000020,SEG-000020,AP-000020-01,2024-01,2024-01-15,2024-01-15,447.87,447.87,Pago,Boleto,Residencial,Bom
PG-rada-00000021,AP-000021,SEG-000021,AP-000021-01,2024-01,2024-01-15,2024-01-15,655.15,655.15,Pago,Boleto,Vida,Medio
PG-rada-00000022,AP-000022,SEG-000022,AP-000022-01,2024-01,2024-01-10,2024-01-10,974.06,974.06,Pago,Boleto,Auto,Bom
PG-rada-00000023,AP-000023,SEG-000023,AP-000023-01,2024-01,2024-01-05,2024-01-12,449.84,449.84,Pago,Debito,Vida,Medio
PG-rada-00000024,AP-000024,SEG-000024,AP-000024-01,2024-01,2024-01-08,2024-01-11,195.53,195.53,Pago,Boleto,Vida,Medio
PG-rada-00000025,AP-000025,SEG-000025,AP-000025-01,2024-01,2024-01-10,2024-01-10,442.37,442.37,Pago,Debito,Auto,Bom
PG-rada-00000026,AP-000026,SEG-000026,AP-000026-01,2024-01,2024-01-18,2024-01-18,147.47,147.47,Pago,Boleto,Vida,Medio
PG-rada-00000027,AP-000027,SEG-000027,AP-000027-01,2024-01,2024-01-08,,0.00,944.66,Inadimplente,Boleto,Auto,Medio
PG-rada-00000028,AP-000028,SEG-000028,AP-000028-01,2024-01,2024-01-12,2024-01-12,436.64,436.64,Pago,Boleto,Residencial,Bom
PG-rada-00000029,AP-000029,SEG-000029,AP-000029-01,2024-01,2024-01-25,2024-01-25,447.58,447.58,Pago,Boleto,Residencial,Bom
PG-rada-00000030,AP-000030,SEG-000030,AP-000030-01,2024-01,2024-01-25,2024-01-25,139.50,139.50,Pago,Boleto,Vida,Medio
PG-rada-00000031,AP-000031,SEG-000031,AP-000031-01,2024-01,2024-01-05,2024-01-05,532.35,532.35,Pago,Debito,Empresarial,Ruim
PG-rada-00000032,AP-000032,SEG-000032,AP-000032-01,2024-01,2024-01-15,2024-01-16,375.14,375.14,Pago,Cartao,Saude,Bom
