id_pagamento,id_apolice,id_segurado,id_parcela,competencia,data_vencimento,data_pagamento,valor_pago,valor_esperado,status,metodo_pagamento,ramo,perfil_pagamento
PG-leto-00000001,AP-000001,SEG-000001,AP-000001-01,2024-01,2024-01-05,2024-01-17,1053.11,1053.11,Pago,Cartao,Residencial,Medio
PG-leto-00000002,AP-000002,SEG-000002,AP-000002-01,2024-01,2024-01-10,2024-01-10,449.75,449.75,Pago,Debito,Residencial,Medio
PG-leto-00000003,AP-000003,SEG-000003,AP-000003-01,2024-01,2024-01-25,2024-01-25,846.42,846.42,Pago,Boleto,Vida,Ruim
PG-leto-00000004,AP-000004,SEG-000004,AP-000004-01,2024-01,2024-01-10,2024-01-10,748.30,748.30,Pago,Boleto,Residencial,Medio
PG-leto-00000005,AP-000005,SEG-000005,AP-000005-01,2024-01,2024-01-08,,0.00,1070.86,Inadimplente,Boleto,Saude,Ruim
PG-leto-00000006,AP-000006,SEG-000006,AP-000006-01,2024-01,2024-01-18,2024-01-18,538.58,538.58,Pago,Boleto,Auto,Medio
PG-leto-00000007,AP-000007,SEG-000007,AP-000007-01,2024-01,2024-01-08,2024-01-20,1370.64,1370.64,Pago,Boleto,Vida,Medio
PG-leto-00000008,AP-000008,SEG-000008,AP-000008-01,2024-01,2024-01-25,2024-01-26,886.10,886.10,Pago,Debito,Auto,Bom
PG-leto-00000009,AP-000009,SEG-000009,AP-000009-01,2024-01,2024-01-20,,0.00,882.03,Inadimplente,Boleto,Residencial,Ruim
PG-leto-00000010,AP-000010,SEG-000010,AP-000010-01,2024-01,2024-01-05,2024-01-05,293.30,293.30,Pago,Cartao,Auto,Bom
PG-leto-00000011,AP-000011,SEG-000011,AP-000011-01,2024-01,2024-01-08,2024-01-08,983.28,983.28,Pago,Cartao,Auto,Bom
PG-leto-00000012,AP-000012,SEG-000012,AP-000012-01,2024-01,2024-01-08,2024-02-05,992.70,992.70,Pago,Boleto,Auto,Ruim
PG-leto-00000013,AP-000013,SEG-000013,AP-000013-01,2024-01,2024-01-12,2024-01-12,505.79,505.79,Pago,Boleto,Auto,Medio
PG-leto-00000014,AP-000014,SEG-000014,AP-000014-01,2024-01,2024-01-15,2024-01-22,460.21,460.21,Pago,Boleto,Auto,Ruim
PG-leto-00000015,AP-000015,SEG-000015,AP-000015-01,2024-01,2024-01-25,,0.00,1034.18,Inadimplente,Boleto,Vida,Ruim
PG-leto-00000016,AP-000016,SEG-000016,AP-000016-01,2024-01,2024-01-15,2024-01-30,588.48,588.48,Pago,Boleto,Auto,Ruim
PG-leto-00000017,AP-000017,SEG-000017,AP-000017-01,2024-01,2024-01-10,2024-01-17,978.31,978.31,Pago,Boleto,Auto,Ruim
PG-leto-00000018,AP-000018,SEG-000018,AP-000018-01,2024-01,2024-01-18,2024-01-25,509.26,509.26,Pago,Boleto,Empresarial,Medio
PG-leto-00000019,AP-000019,SEG-000019,AP-000019-01,2024-01,2024-01-18,2024-01-21,1107.39,1107.39,Pago,Boleto,Saude,Medio
PG-leto-00000020,AP-000020,SEG-000020,AP-000020-01,2024-01,2024-01-15,2024-01-15,406.42,406.42,Pago,Cartao,Residencial,Ruim
PG-leto-00000021,AP-000021,SEG-000021,AP-000021-01,2024-01,2024-01-08,2024-01-08,809.54,809.54,Pago,Boleto,Residencial,Bom
PG-leto-00000022,AP-000022,SEG-000022,AP-000022-01,2024-01,2024-01-05,2024-01-12,343.11,343.11,Pago,Boleto,Empresarial,Ruim
PG-leto-00000023,AP-000023,SEG-000023,AP-000023-01,2024-01,2024-01-12,,0.00,606.85,Inadimplente,Boleto,Empresarial,Ruim
PG-leto-00000024,AP-000024,SEG-000024,AP-000024-01,2024-01,2024-01-12,,0.00,443.05,Inadimplente,Boleto,Auto,Ruim
PG-leto-00000025,AP-000025,SEG-000025,AP-000025-01,2024-01,2024-01-05,,0.00,1355.98,Inadimplente,Debito,Empresarial,Ruim
PG-leto-00000026,AP-000026,SEG-000026,AP-000026-01,2024-01,2024-01-15,2024-01-15,1242.03,1242.03,Pago,Debito,Saude,Bom
PG-leto-00000027,AP-000027,SEG-000027,AP-000027-01,2024-01,2024-01-12,2024-01-12,477.04,477.04,Pago,Cartao,Empresarial,Bom
PG-leto-00000028,AP-000028,SEG-000028,AP-000028-01,2024-01,2024-01-10,,0.00,346.28,Inadimplente,Boleto,Vida,Ruim
PG-leto-00000029,AP-000029,SEG-000029,AP-000029-01,2024-01,2024-01-25,2024-02-01,590.29,590.29,Pago,Boleto,Saude,Medio
PG-leto-00000030,AP-000030,SEG-000030,AP-000030-01,2024-01,2024-01-15,2024-01-22,756.04,756.04,Pago,Boleto,Vida,Medio
PG-leto-00000031,AP-000031,SEG-000031,AP-000031-01,2024-01,2024-01-20,2024-01-23,1257.97,1257.97,Pago,Boleto,Empresarial,Medio
PG-leto-00000032,AP-000032,SEG-000032,AP-000032-01,2024-01,2024-01-20,,0.00,1427.82,Inadimplente,Boleto,Empresarial,Ruim
PG-leto-00000033,AP-000033,SEG-000033,AP-000033-01,2024-01,2024-01-10,2024-01-10,526.53,526.53,Pago,Boleto,Empresarial,Medio
PG-leto-00000034,AP-000034,SEG-000034,AP-000034-01,2024-01,2024-01-12,2024-01-19,1018.51,1018.51,Pago,Boleto,Auto,Medio
PG-leto-00000035,AP-000035,SEG-000035,AP-000035-01,2024-01,2024-01-08,2024-01-15,1114.11,1114.11,Pago,Boleto,Residencial,Ruim
PG-leto-00000036,AP-000036,SEG-000036,AP-000036-01,2024-01,2024-01-25,2024-01-25,1319.18,1319.18,Pago,Cartao,Residencial,Bom
PG-leto-00000037,AP-000037,SEG-000037,AP-000037-01,2024-01,2024-01-08,2024-01-15,1034.84,1034.84,Pago,Debito,Empresarial,Medio
PG-leto-00000038,AP-000038,SEG-000038,AP-000038-01,2024-01,2024-01-25,2024-02-01,312.96,312.96,Pago,Boleto,Empresarial,Ruim
PG-leto-00000039,AP-000039,SEG-000039,AP-000039-01,2024-01,2024-01-05,2024-01-06,361.65,361.65,Pago,Cartao,Residencial,Bom
PG-leto-00000040,AP-000040,SEG-000040,AP-000040-01,2024-01,2024-01-15,2024-01-15,1207.36,1207.36,Pago,Boleto,Auto,Medio
PG-leto-00000041,AP-000041,SEG-000041,AP-000041-01,2024-01,2024-01-12,2024-01-14,446.37,446.37,Pago,Debito,Saude,Bom
PG-leto-00000042,AP-000042,SEG-000042,AP-000042-01,2024-01,2024-01-05,,0.00,1417.79,Inadimplente,Boleto,Empresarial,Ruim
PG-leto-00000043,AP-000043,SEG-000043,AP-000043-01,2024-01,2024-01-10,,0.00,605.22,Inadimplente,Boleto,Empresarial,Ruim
PG-leto-00000044,AP-000044,SEG-000044,AP-000044-01,2024-01,2024-01-10,2024-01-10,786.92,786.92,Pago,Debito,Residencial,Bom
PG-leto-00000045,AP-000045,SEG-000045,AP-000045-01,2024-01,2024-01-20,2024-01-20,547.66,547.66,Pago,Boleto,Empresarial,Medio
PG-leto-00000046,AP-000046,SEG-000046,AP-000046-01,2024-01,2024-01-25,2024-02-09,433.20,433.20,Pago,Boleto,Residencial,Ruim
PG-leto-00000047,AP-000047,SEG-000047,AP-000047-01,2024-01,2024-01-05,,0.00,1394.48,Inadimplente,Boleto,Residencial,Ruim
PG-leto-00000048,AP-000048,SEG-000048,AP-000048-01,2024-01,2024-01-05,2024-01-05,1368.67,1368.67,Pago,Boleto,Residencial,Bom
PG-leto-00000049,AP-000049,SEG-000049,AP-000049-01,2024-01,2024-01-12,2024-01-12,1364.30,1364.30,Pago,Boleto,Saude,Ruim
PG-leto-00000050,AP-000050,SEG-000050,AP-000050-01,2024-01,2024-01-25,2024-01-25,549.24,549.24,Pago,Boleto,Auto,Bom
PG-leto-00000051,AP-000051,SEG-000051,AP-000051-01,2024-01,2024-01-25,2024-02-09,955.52,955.52,Pago,Boleto,Vida,Ruim
PG-leto-00000052,AP-000052,SEG-000052,AP-000052-01,2024-01,2024-01-12,,0.00,1130.18,Inadimplente,Debito,Empresarial,Medio
PG-leto-00000053,AP-000053,SEG-000053,AP-000053-01,2024-01,2024-01-15,2024-01-18,961.79,961.79,Pago,Boleto,Auto,Medio
PG-leto-00000054,AP-000054,SEG-000054,AP-000054-01,2024-01,2024-01-18,2024-01-18,333.16,333.16,Pago,Cartao,Empresarial,Bom
PG-leto-00000055,AP-000055,SEG-000055,AP-000055-01,2024-01,2024-01-12,2024-02-09,1200.24,1200.24,Pago,Boleto,Empresarial,Ruim
PG-leto-00000056,AP-000056,SEG-000056,AP-000056-01,2024-01,2024-01-15,2024-01-15,550.38,550.38,Pago,Boleto,Empresarial,Medio
PG-leto-00000057,AP-000057,SEG-000057,AP-000057-01,2024-01,2024-01-18,2024-02-15,324.26,324.26,Pago,Boleto,Empresarial,Ruim
PG-leto-00000058,AP-000058,SEG-000058,AP-000058-01,2024-01,2024-01-10,,0.00,793.69,Inadimplente,Boleto,Saude,Ruim
